id,district,area,lat,lng,accidents,casualties,serious,children,elderly,night,commute,pm,weatherRisk,speedLimit,schoolZone,roadType,signalDensity,trafficVolume,note
DJ-001,서구,둔산동 시청역 주변,36.3517,127.3848,31,42,7,2,5,0.31,0.44,5,0.25,50,0,간선도로,0.78,0.92,업무지구와 환승 수요가 겹쳐 출퇴근 시간 집중도가 큽니다.
DJ-002,서구,갈마역 사거리,36.3574,127.3726,24,30,5,1,4,0.38,0.39,4,0.3,50,0,교차로,0.7,0.76,상업지역 진출입 차량과 보행 동선이 함께 나타납니다.
DJ-003,서구,관저동 학교밀집 구간,36.3017,127.3378,18,22,3,6,2,0.18,0.51,3,0.22,30,1,생활도로,0.52,0.47,등하교 시간대 위험도가 높아지는 스쿨존 사례입니다.
DJ-004,서구,월평동 갑천변 도로,36.3625,127.3643,15,17,3,1,2,0.47,0.28,6,0.38,50,0,하천변도로,0.35,0.58,야간 이동과 개인형 이동장치 비중을 함께 볼 필요가 있습니다.
DJ-005,서구,도마동 전통시장 주변,36.3163,127.3765,22,28,6,1,8,0.33,0.34,2,0.28,40,0,상업이면도로,0.63,0.65,고령 보행자와 생활도로 차량 흐름을 함께 분석하기 좋습니다.
DJ-006,유성구,충남대 정문 오거리,36.3667,127.3452,27,34,5,1,3,0.42,0.36,8,0.29,50,0,대학가,0.74,0.81,"보행, 버스, PM 이동이 섞이는 대학가 지점입니다."
DJ-007,유성구,유성온천역 일대,36.3539,127.3414,29,38,8,1,6,0.49,0.33,5,0.33,50,0,상업지역,0.82,0.88,야간 유동인구가 많아 시간대별 비교가 뚜렷합니다.
DJ-008,유성구,도안신도시 초등학교 주변,36.3316,127.3371,14,18,2,5,1,0.16,0.55,2,0.2,30,1,스쿨존,0.46,0.52,사고 건수는 크지 않아도 어린이 변수 때문에 관리 우선순위가 올라갑니다.
DJ-009,유성구,관평동 테크노밸리,36.4236,127.3915,21,27,4,0,2,0.36,0.48,3,0.25,60,0,산업단지도로,0.55,0.79,출퇴근 차량 집중과 높은 제한속도 조건을 함께 살펴봅니다.
DJ-010,유성구,노은역 환승 구간,36.3739,127.3188,19,24,3,1,5,0.34,0.41,2,0.27,50,0,환승도로,0.69,0.67,버스정류장과 지하철 접근 보행량이 위험도를 설명합니다.
DJ-011,중구,대전역 서광장,36.3326,127.4348,33,45,9,1,9,0.44,0.38,4,0.31,50,0,역세권,0.86,0.91,대중교통 환승과 보행 밀도가 높은 대표 지점입니다.
DJ-012,중구,중앙로역 상권,36.3276,127.4259,30,40,7,1,7,0.53,0.31,5,0.35,40,0,상업지역,0.9,0.85,야간 보행량과 상가 진출입 차량이 겹치는 구간입니다.
DJ-013,중구,은행동 보행우선구역,36.3296,127.4283,16,19,3,2,6,0.46,0.25,4,0.29,30,0,보행우선,0.77,0.48,속도는 낮지만 보행자 접촉 가능성이 큰 곳입니다.
DJ-014,중구,서대전네거리역,36.3223,127.4123,26,35,8,1,8,0.39,0.42,2,0.32,50,0,교차로,0.84,0.82,큰 교차로에서는 신호 밀도와 교통량을 함께 비교합니다.
DJ-015,중구,태평동 주거지역,36.3238,127.3986,17,21,4,3,5,0.28,0.37,1,0.24,30,1,생활도로,0.51,0.44,주거지와 학교 주변 안전대책을 연결해 볼 수 있습니다.
DJ-016,동구,복합터미널 앞,36.3504,127.4376,34,47,10,1,8,0.46,0.4,3,0.34,50,0,터미널,0.88,0.94,차량 진출입과 보행 환승이 동시에 큰 지점입니다.
DJ-017,동구,용전동 상업도로,36.3538,127.4311,23,29,5,0,5,0.51,0.32,4,0.33,50,0,상업지역,0.7,0.73,야간 사고 비중과 상업지역 특성이 잘 드러납니다.
DJ-018,동구,가오동 초등학교 주변,36.3069,127.4546,13,16,2,5,1,0.14,0.58,1,0.19,30,1,스쿨존,0.43,0.42,어린이 사고 비중과 등하교 시간대 집중을 확인합니다.
DJ-019,동구,판암역 주변,36.3174,127.4584,20,25,4,1,6,0.37,0.43,2,0.27,50,0,환승도로,0.66,0.61,도시철도 접근 보행량과 교차로 사고를 비교합니다.
DJ-020,동구,대동역 언덕길,36.3291,127.4421,18,23,5,1,7,0.41,0.3,1,0.46,40,0,경사도로,0.48,0.52,비·눈 날씨 취약성과 고령 보행자 변수를 설명하기 좋습니다.
DJ-021,대덕구,오정동 농수산시장 주변,36.3579,127.4075,28,36,8,0,6,0.4,0.36,2,0.28,50,0,물류상업,0.7,0.83,화물·상업 차량과 보행 동선이 섞이는 지점입니다.
DJ-022,대덕구,신탄진역 주변,36.4518,127.4287,25,32,7,1,8,0.43,0.35,2,0.32,50,0,역세권,0.68,0.7,역세권 고령 보행자 안전을 토론하기 좋은 사례입니다.
DJ-023,대덕구,송촌동 주거상권,36.3659,127.4425,19,24,4,2,5,0.35,0.39,2,0.25,40,0,주거상권,0.58,0.57,생활권 상권에서 보행자와 차량 흐름을 비교합니다.
DJ-024,대덕구,대화동 산업단지,36.3726,127.4101,22,31,6,0,2,0.32,0.5,1,0.24,60,0,산업단지도로,0.5,0.77,출퇴근 시간대와 제한속도 변수가 강하게 작용합니다.
DJ-025,대덕구,법동 초등학교 주변,36.3677,127.427,12,15,2,4,2,0.15,0.56,1,0.18,30,1,스쿨존,0.45,0.41,건수 중심 순위와 보호대상 중심 순위가 달라지는 예시입니다.
